Scenario,UserName,ModelName,Studyname,Attribute,Commodity,Process,Period,Region,Vintage,Timeslice,Pv,Commodityset
"base","joao","QatarTIMES","pilot_runs","VAR_FOut","ATMCO2","-","2050","QT","-","ANNUAL","209025.851424305","ENV"
"base","joao","QatarTIMES","pilot_runs","VAR_FOut","ATMCO2","-","2045","QT","-","ANNUAL","195045.480349836","ENV"
"base","joao","QatarTIMES","pilot_runs","VAR_FOut","ATMCO2","-","2040","QT","-","ANNUAL","154690.395313079","ENV"
"base","joao","QatarTIMES","pilot_runs","VAR_FOut","ATMCO2","-","2035","QT","-","ANNUAL","143609.165418825","ENV"
"base","joao","QatarTIMES","pilot_runs","VAR_FOut","ATMCO2","-","2030","QT","-","ANNUAL","108895.441783486","ENV"
"base","joao","QatarTIMES","pilot_runs","VAR_FOut","ATMCO2","-","2025","QT","-","ANNUAL","112319.252936778","ENV"
"base","joao","QatarTIMES","pilot_runs","VAR_FOut","ATMCO2","-","2020","QT","-","ANNUAL","110150.081223668","ENV"
"base","joao","QatarTIMES","pilot_runs","VAR_FOut","ATMCO2","-","2016","QT","-","ANNUAL","105329.327216425","ENV"
"base","joao","QatarTIMES","pilot_runs","VAR_FOut","ATMCO2","-","2015","QT","-","ANNUAL","106905.412680587","ENV"
"base","joao","QatarTIMES","pilot_runs","VAR_FOut","UPSCO2N","UPSTRBNGLIQ01","2050","QT","2050","ANNUAL","54360.1366416641","ENV"
"base","joao","QatarTIMES","pilot_runs","VAR_FOut","UPSCO2N","UPSSMR01","2050","QT","2050","SFN","2646.83123163615","ENV"
"base","joao","QatarTIMES","pilot_runs","VAR_FOut","UPSCO2N","UPSSMR01","2050","QT","2050","SFE","1512.47498950637","ENV"
"base","joao","QatarTIMES","pilot_runs","VAR_FOut","UPSCO2N","UPSSMR01","2050","QT","2050","SFP","1134.35624212978","ENV"
"base","joao","QatarTIMES","pilot_runs","VAR_FOut","UPSCO2N","UPSSMR01","2050","QT","2050","SFD","3781.18747376593","ENV"
"base","joao","QatarTIMES","pilot_runs","VAR_FOut","UPSCO2N","UPSSMR01","2050","QT","2050","SSN","6617.0780790904","ENV"
"base","joao","QatarTIMES","pilot_runs","VAR_FOut","UPSCO2N","UPSSMR01","2050","QT","2050","SSE","3781.18747376593","ENV"
"base","joao","QatarTIMES","pilot_runs","VAR_FOut","UPSCO2N","UPSSMR01","2050","QT","2050","SSP","2835.89060532445","ENV"
"base","joao","QatarTIMES","pilot_runs","VAR_FOut","UPSCO2N","UPSSMR01","2050","QT","2050","SSD","9452.96868441484","ENV"
"base","joao","QatarTIMES","pilot_runs","VAR_FOut","UPSCO2N","UPSSMR01","2050","QT","2050","WFN","2646.83123163615","ENV"
"base","joao","QatarTIMES","pilot_runs","VAR_FOut","UPSCO2N","UPSSMR01","2050","QT","2050","WFE","1512.47498950637","ENV"
"base","joao","QatarTIMES","pilot_runs","VAR_FOut","UPSCO2N","UPSSMR01","2050","QT","2050","WFP","1134.35624212978","ENV"
"base","joao","QatarTIMES","pilot_runs","VAR_FOut","UPSCO2N","UPSSMR01","2050","QT","2050","WFD","3781.18747376593","ENV"
"base","joao","QatarTIMES","pilot_runs","VAR_FOut","UPSCO2N","UPSSMR01","2050","QT","2050","WSN","6617.0780790904","ENV"
"base","joao","QatarTIMES","pilot_runs","VAR_FOut","UPSCO2N","UPSSMR01","2050","QT","2050","WSE","3781.18747376593","ENV"
"base","joao","QatarTIMES","pilot_runs","VAR_FOut","UPSCO2N","UPSSMR01","2050","QT","2050","WSP","2835.89060532445","ENV"
"base","joao","QatarTIMES","pilot_runs","VAR_FOut","UPSCO2N","UPSSMR01","2050","QT","2050","WSD","9452.96868441485","ENV"
"base","joao","QatarTIMES","pilot_runs","VAR_FOut","SNKUPSHYGCO2G","UPSSMR01","2050","QT","2050","SFN","3.85756843461998E-06","ENV"
"base","joao","QatarTIMES","pilot_runs","VAR_FOut","SNKUPSHYGCO2G","UPSSMR01","2050","QT","2050","SFE","2.20432481978284E-06","ENV"
"base","joao","QatarTIMES","pilot_runs","VAR_FOut","SNKUPSHYGCO2G","UPSSMR01","2050","QT","2050","SFP","1.65324361483714E-06","ENV"
"base","joao","QatarTIMES","pilot_runs","VAR_FOut","SNKUPSHYGCO2G","UPSSMR01","2050","QT","2050","SFD","5.51081204945711E-06","ENV"
